Time (min),Intensity (a.u.)
0.016666668,307.8312988
0.050000001,307.3948975
0.083333336,308.6396484
0.116666667,308.8077393
0.150000006,309.4348145
0.183333337,309.5220337
0.216666669,310.1007996
0.25,308.9976501
0.283333331,309.4256592
0.316666663,311.5741882
0.349999994,313.0553284
0.383333325,312.7575073
0.416666657,313.6634216
0.449999988,313.118866
0.483333319,315.1582031
0.516666651,314.585968
0.550000012,315.2384949
0.583333314,315.1372986
0.616666675,316.563324
0.649999976,317.8022461
0.683333337,319.6928711
0.716666639,320.0491028
0.75,320.1838989
0.783333361,320.6937256
0.816666663,321.2793579
0.850000024,320.7437439
0.883333325,321.2969055
0.916666687,321.5866089
0.949999988,321.9176636
0.983333349,323.235321
1.016666651,323.8200073
1.049999952,324.3498535
1.083333373,325.5686951
1.116666675,324.9328918
1.149999976,325.3535156
1.183333278,325.9663391
1.216666698,326.5533752
1.25,326.9055481
1.283333302,327.6615906
1.316666722,327.5483093
1.350000024,327.494751
1.383333325,328.0286865
1.416666627,328.5618896
1.450000048,330.5328979
1.483333349,330.1793518
1.516666651,330.8344421
1.549999952,329.9650574
1.583333373,331.5126343
1.616666675,331.9020386
1.649999976,332.2878418
1.683333278,332.4273682
1.716666698,332.3468933
1.75,332.8410034
1.783333302,333.5152588
1.816666722,333.6552429
1.850000024,334.4099121
1.883333325,334.0150452
1.916666627,333.9610901
1.950000048,334.2407532
1.983333349,335.0777588
2.016666651,335.6236267
2.049999952,336.0423584
2.083333254,337.2040405
2.116666555,336.8611755
2.150000095,336.5144348
2.183333397,336.7831726
2.216666698,337.3122559
2.25,338.1953735
2.283333302,338.8019714
2.316666603,338.8317261
2.349999905,339.3717041
2.383333445,338.9039917
2.416666746,338.9758911
2.450000048,339.637207
2.483333349,339.2284851
2.516666651,339.8152161
2.549999952,340.2615051
2.583333254,340.237854
2.616666555,340.945282
2.650000095,341.7463074
2.683333397,341.3435974
2.716666698,341.0365906
2.75,341.0718384
2.783333302,341.7946167
2.816666603,342.469574
2.849999905,342.7177734
2.883333445,342.9229126
2.916666746,342.8048096
2.950000048,343.0803528
2.983333349,343.8325195
3.016666651,344.3684387
3.049999952,343.5524902
3.083333254,343.8092651
3.116666555,345.0803833
3.150000095,344.5237122
3.183333397,344.6327515
3.216666698,345.5500183
3.25,344.6080322
3.283333302,346.0793152
3.316666603,345.7809143
3.349999905,345.6754456
3.383333445,345.6371765
3.416666746,346.7634277
3.450000048,345.6224365
3.483333349,346.7630615
3.516666651,346.1722412
3.549999952,346.4682617
3.583333254,346.9206848
3.616666555,347.2844543
3.650000095,346.924469
3.683333397,346.8452759
3.716666698,346.9702454
